"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578503524696731","0.0704047359115412","0.0677734430617652","0.0133917834575945","0.0646656328424114","0.0347389864417031","0.0419537318079731","0.194033855360905","0.237767080224185","0.354385742317814","0.202643980255645","0.201195823259423","0.18584886898146","2.13159624830763","2.10072203608661","1.81038742575089","1.76577672964187","1.81541707617355","1.12692972735512","1.00901200143852","1.40959123292411","1.22363170663832","1.1672913479472","1.06793146679127","",
"Africa Eastern and Southern","AFE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.500637383604552","0.459569759177664","0.577868466201976","0.64128687374914","0.742986870732759","0.993669516095163","1.06957471500779","1.05234388180745","1.03600472528882","0.810570118713165","0.950399494433079","0.893964670796351","0.989529385101454","0.7705644488783","0.711542619927222","0.913712374324624","0.820920558147822","0.909913138605736","0.852471832437771","0.72025689393746","0.967969052184525","1.09589302674126","1.14966320023038","1.09328432794784","0.891746718873611","1.04759233364101","0.924769532997452","0.953954906475134","0.747877207486097","0.775643030165425","0.812805614353984","0.826611968944499","0.942449685272247","0.945800658748127","1.01958713691382","1.02138815264589","1.01331972625466","1.09449656954682","1.23411399068518","1.11531807564328","1.18906848577688","1.34246434877732","1.40054228515755","1.46168643480668","1.58738683329136","1.73003596565321","2.01849425198702","1.87763188549501",
"Afghanistan","AFG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.885723661387124","1.13316233567863","2.38515836845792","1.0059846865258","1.10218743514509","1.72321110990224","1.23611373619901","1.82199581344675","3.46484306572226","4.38709328246437","4.45098621835989","4.40742759471936","3.95329685319887","2.24403998810715","2.20731611347931","1.8656461200228","",
"Africa Western and Central","AFW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.427408113661359","0.476667494071517","0.426208396336947","0.478139066471037","0.226228195320203","0.200272787604474","0.268122321893325","0.282228621344669","0.361126796607322","0.512474868402572","0.524418339557102","0.577758171946041","0.619821682106948","0.586910252181865","0.586255192063307","0.707679103055626","1.18337285272015","0.900624057308813","0.507569503469763","0.419819939976185","0.470601409914345","0.406373205348303","1.56399382801204","1.62336604525413","1.46222534334277","1.33478667613483","1.32695516080716","1.6668318913372","5.65051612827489","5.28559071245467","4.77837943161875","4.26338086969275","4.5464476797231","4.18947507983956","4.28979134597676","3.96379361733763","3.52957241159645","3.39816952467019","4.2048450576751","4.34730804529171","4.93746796484023","4.82782062800039","4.43693332668591","3.86987074599945","3.77616556361853","3.8896916469977","4.4080720918333","5.8242320817687",
"Angola","AGO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683193199703648","","","","","","","","","","","","0.0927097781758097","0.000230927285992904","0.0214464794672161","0.000183157314750667","0.0315095160059489","0.0276844929710311","0.0227784420031692","0.0122819350619397","0.00755861664156952","0.00192453909233653","0.00198770732462953","0.00485976371509548","0.0166036941792851","0.0189927443523619","0.0134152542495911","0.014216841361803","0.0634842009116607",
"Albania","ALB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268486067455","14.7086523433297","17.0320712619599","13.0925773880382","19.3873379752822","12.3997336340514","16.6770344143812","17.2281095910701","16.2473863481927","15.3187296457995","15.670684644424","15.6201731609198","14.8567088699863","13.2052550548158","14.0708275191369","13.9247890307559","13.1267801276088","11.963216583924","11.5932923255515","10.0167971204892","10.6872215602712","11.2540904144104","10.8936962925845","9.89437224407924","9.48151283244675","9.45012315653745","9.61842001945748","9.52947559706169","9.17717165039736","8.64718937738839","8.36876417203097",
"Andorra","AND","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.669148879183659","1.6401350704862","1.59419659692228","1.31863016205126","1.27540274081638","1.29549250264243",
"Arab World","ARB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57124517158736","2.38059439406697","2.6286168493954","2.39227284299783","2.47865628661038","2.33281486540768","1.90077622748234","2.04879092983385","2.02688587315774","2.22628740133421","2.36208107424562","2.37882331528979","2.71043376875389","2.45315841950459","2.37320426716784","2.77796278534363","2.69476964165627","2.14211833894646","1.92342033145639","1.94286457343374",
"United Arab Emirates","ARE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","0.0291972596105791","0.0606477798448147","0.0727632539285346","0.053382925314063","0.0332117597743446","0.026928486758215","0.0273702995664795","0.0306292987747408","0.0302250711965358","0.0312468737901249","0.0238631449285952","0.0346601768004971","0.0161581685623613","0.0100780109769259","0.00673138932607845","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131541807279184","0.105778682207302","0.0969166746867397","0.0960152008279333","0.0831331023452092","0.0702343224152265","0.0745674778829442","0.0995468179872308","0.125380809015097","0.168011924038753","0.185543785281081","0.166952666555471","0.156171653314356","0.164917106386832",
